ФИО,ГодРождения,ГодСмерти,ЧислоДетей
Новиков Артем Иванович,1946,2002,2
Волков Алексей Алексеевич,1889,1894,13
Новиков Алексей Алексеевич,1889,1956,12
Фролов Никита Алексеевич,1896,1907,9
Смирнов Алексей Юрьевич,1894,1992,2
Кузнецов Сергей Алексеевич,1831,1891,9
Кузнецов Алексей Сергеевич,1959,2015,4
Фролов Артем Николаевич,1906,1936,0
Смирнов Петр Иванович,1801,1905,10
Волков Петр Алексеевич,1884,1922,3
Кузнецов Иван Юрьевич,1933,1966,4
Смирнов Никита Юрьевич,1820,1870,14
Лебедев Петр Иванович,1855,1944,13
Попов Артем Иванович,1826,1945,7
Петров Сергей Алексеевич,1924,2021,2
Волков Сергей Юрьевич,1827,1953,3
Петров Никита Иванович,1856,1858,3
Иванов Владимир Николаевич,1881,1949,1
Сидоров Петр Андреевич,1804,1922,2
Смирнов Андрей Андреевич,1951,1957,3
Сидоров Юрий Иванович,1838,1937,2
Фролов Андрей Николаевич,1914,1936,11
Лебедев Никита Дмитриевич,1803,1840,1
Новиков Алексей Петрович,1854,1979,10
Кузнецов Артем Дмитриевич,1949,1996,12
Фролов Иван Иванович,1935,2014,7
Попов Иван Петрович,1989,2001,4
Петров Андрей Юрьевич,1990,2001,2
Петров Артем Николаевич,1809,1901,10
Волков Сергей Юрьевич,1865,1930,6
Фролов Владимир Дмитриевич,1826,1927,9
Попов Иван Алексеевич,1820,1844,7
Фролов Никита Федорович,1839,2000,9
Петров Сергей Сергеевич,1887,1925,11
Фролов Артем Дмитриевич,1895,1958,14
Кузнецов Петр Иванович,1839,1950,5
Петров Иван Васильевич,1895,1936,13
Иванов Никита Андреевич,1863,1868,14
Фролов Владимир Иванович,1885,2009,4
Фролов Артем Петрович,1919,2024,2
Волков Иван Алексеевич,1864,1949,6
Новиков Дмитрий Петрович,1870,1881,8
Иванов Сергей Федорович,1959,1997,1
Иванов Юрий Андреевич,1865,1968,12
Новиков Владимир Николаевич,1810,1837,0
Петров Владимир Петрович,1895,2011,4
Смирнов Юрий Николаевич,1833,1942,7
Иванов Андрей Иванович,1843,1923,9
Петров Артем Андреевич,1923,1927,14
Лебедев Владимир Васильевич,1936,1962,10
Петров Владимир Юрьевич,1970,1978,7
Попов Петр Николаевич,1819,1912,9
Иванов Дмитрий Сергеевич,1943,2016,13
Новиков Артем Иванович,1912,1925,12
Сидоров Владимир Николаевич,1802,1935,12
Лебедев Дмитрий Иванович,1847,1943,13
Фролов Юрий Дмитриевич,1821,2002,6
Иванов Алексей Николаевич,1815,1887,7
Кузнецов Юрий Федорович,1926,2007,11
Новиков Петр Дмитриевич,1856,1991,2
Новиков Иван Васильевич,1847,1899,11
Сидоров Иван Васильевич,1981,2017,1
Иванов Сергей Алексеевич,1871,1932,10
Кузнецов Иван Андреевич,1848,1890,4
Попов Сергей Николаевич,1977,1977,7
Кузнецов Владимир Сергеевич,1920,1998,2
Смирнов Никита Васильевич,1822,1981,7
Смирнов Владимир Васильевич,1925,1942,5
Попов Иван Юрьевич,1820,1947,6
Кузнецов Никита Иванович,1967,2006,6
Кузнецов Никита Николаевич,1893,1934,1
Кузнецов Артем Юрьевич,1916,1987,4
Петров Иван Алексеевич,1804,1914,8
Попов Алексей Алексеевич,1905,1963,9
Фролов Дмитрий Юрьевич,1873,2011,12
Попов Артем Иванович,1814,1972,11
Новиков Дмитрий Иванович,1957,1967,4
Фролов Иван Юрьевич,1857,1892,9
Новиков Сергей Иванович,1834,1862,11
Фролов Сергей Васильевич,1808,1925,13
Попов Никита Васильевич,1978,1982,12
Смирнов Никита Юрьевич,1874,2018,7
Смирнов Сергей Юрьевич,1930,1946,4
Волков Андрей Петрович,1897,1967,6
Фролов Сергей Алексеевич,1888,1985,4
Сидоров Дмитрий Сергеевич,1818,1890,11
Смирнов Владимир Васильевич,1939,1986,3
Попов Дмитрий Николаевич,1908,1968,6
Лебедев Владимир Васильевич,1937,1985,12
