ФИО,ГодРождения,ГодСмерти,ЧислоДетей
Волков Алексей Алексеевич,1800,1937,9
Волков Андрей Алексеевич,1800,1950,9
Волков Владимир Федорович,1800,2009,6
Волков Дмитрий Васильевич,1800,2011,3
Волков Дмитрий Юрьевич,1800,1957,0
Волков Иван Алексеевич,1800,1850,5
Волков Иван Васильевич,1800,1997,9
Волков Иван Петрович,1800,1826,3
Волков Иван Федорович,1800,1827,9
Волков Никита Алексеевич,1800,1913,14
Волков Никита Петрович,1800,1933,11
Волков Никита Федорович,1800,1804,2
Волков Петр Дмитриевич,1800,1908,13
Волков Петр Сергеевич,1800,1988,1
Иванов Алексей Дмитриевич,1800,1974,5
Иванов Алексей Николаевич,1800,1951,2
Иванов Алексей Петрович,1800,1989,5
Иванов Андрей Алексеевич,1800,1825,4
Иванов Андрей Дмитриевич,1800,1962,4
Иванов Андрей Иванович,1800,1903,14
Иванов Андрей Юрьевич,1800,1807,1
Иванов Андрей Юрьевич,1800,2014,1
Иванов Андрей Юрьевич,1800,1891,10
Иванов Артем Петрович,1800,1913,2
Иванов Артем Сергеевич,1800,1964,2
Иванов Владимир Васильевич,1800,2017,11
Иванов Владимир Дмитриевич,1800,1962,1
Иванов Дмитрий Дмитриевич,1800,2008,1
Иванов Иван Алексеевич,1800,1907,3
Иванов Иван Алексеевич,1800,1925,12
Иванов Иван Дмитриевич,1800,1948,12
Иванов Иван Иванович,1800,1883,12
Иванов Петр Николаевич,1800,1872,5
Иванов Сергей Андреевич,1800,1886,2
Иванов Сергей Петрович,1800,1980,7
Иванов Юрий Дмитриевич,1800,1851,9
Иванов Юрий Николаевич,1800,2011,6
Иванов Юрий Петрович,1800,2016,2
Иванов Юрий Петрович,1800,1990,3
Кузнецов Алексей Дмитриевич,1800,1969,14
Кузнецов Андрей Петрович,1800,1945,2
Кузнецов Андрей Юрьевич,1800,1923,5
Кузнецов Артем Васильевич,1800,1984,12
Кузнецов Артем Дмитриевич,1800,2003,14
Кузнецов Владимир Андреевич,1800,2006,10
Кузнецов Владимир Иванович,1800,1800,14
Кузнецов Владимир Николаевич,1800,2022,7
Кузнецов Владимир Федорович,1800,1982,13
Кузнецов Дмитрий Андреевич,1800,2007,14
Кузнецов Никита Алексеевич,1800,1838,13
Кузнецов Никита Иванович,1800,1901,8
Кузнецов Петр Петрович,1800,1958,1
Кузнецов Юрий Юрьевич,1800,1820,6
Лебедев Алексей Андреевич,1800,2024,4
Лебедев Алексей Иванович,1800,1841,4
Лебедев Андрей Алексеевич,1800,1909,8
Лебедев Владимир Юрьевич,1800,1863,3
Лебедев Дмитрий Федорович,1800,1835,13
Лебедев Иван Сергеевич,1800,2003,1
Лебедев Никита Андреевич,1800,1903,11
Лебедев Никита Дмитриевич,1800,1848,6
Лебедев Петр Васильевич,1800,1897,8
Лебедев Петр Федорович,1800,1878,3
Лебедев Сергей Алексеевич,1800,1832,0
Лебедев Сергей Андреевич,1800,2004,4
Лебедев Юрий Иванович,1800,1809,13
Лебедев Юрий Петрович,1800,1877,12
Лебедев Юрий Сергеевич,1800,2021,8
Лебедев Юрий Юрьевич,1800,1944,11
Новиков Алексей Васильевич,1800,1900,1
Новиков Алексей Николаевич,1800,1867,9
Новиков Алексей Николаевич,1800,1953,9
Новиков Андрей Дмитриевич,1800,1895,2
Новиков Артем Алексеевич,1800,1825,6
Новиков Артем Алексеевич,1800,1965,13
Новиков Артем Петрович,1800,1810,9
Новиков Владимир Дмитриевич,1800,2009,4
Новиков Дмитрий Андреевич,1800,1846,10
Новиков Иван Николаевич,1800,1882,8
Новиков Иван Петрович,1800,1842,2
Новиков Иван Сергеевич,1800,1838,0
Новиков Никита Алексеевич,1800,2005,6
Новиков Никита Васильевич,1800,1900,3
Новиков Никита Сергеевич,1800,2017,0
Новиков Петр Иванович,1800,1804,4
Новиков Юрий Иванович,1800,2003,10
Новиков Юрий Николаевич,1800,1909,6
Новиков Юрий Петрович,1800,1985,4
Петров Андрей Васильевич,1800,1922,12
Петров Андрей Дмитриевич,1800,1976,6
Петров Артем Иванович,1800,1835,4
Петров Владимир Иванович,1800,2023,13
Петров Дмитрий Андреевич,1800,1938,2
Петров Дмитрий Иванович,1800,1978,9
Петров Дмитрий Сергеевич,1800,1961,1
Петров Дмитрий Сергеевич,1800,1864,4
Петров Иван Дмитриевич,1800,1843,3
