ФИО,ГодРождения,ГодСмерти,ЧислоДетей
Попов Владимир Алексеевич,1802,1906,12
Лебедев Владимир Алексеевич,1931,1992,5
Кузнецов Владимир Федорович,1829,1907,10
Петров Сергей Дмитриевич,1886,1918,3
Волков Юрий Петрович,1889,1995,13
Новиков Дмитрий Николаевич,1875,1971,11
Новиков Юрий Дмитриевич,1802,1816,12
Сидоров Иван Юрьевич,1966,1975,11
Петров Андрей Дмитриевич,1930,1961,2
Кузнецов Артем Юрьевич,1977,1993,4
Фролов Сергей Иванович,1922,1932,13
Новиков Юрий Алексеевич,1839,1916,10
Петров Юрий Петрович,1951,2018,6
Лебедев Дмитрий Васильевич,1956,1968,7
Иванов Андрей Юрьевич,1870,1915,3
Смирнов Артем Иванович,1821,2008,3
Иванов Артем Дмитриевич,1848,1890,0
Кузнецов Владимир Петрович,1828,1887,6
Кузнецов Дмитрий Федорович,1807,1917,6
Кузнецов Никита Николаевич,1872,1920,12
Петров Алексей Андреевич,1838,1895,7
Петров Артем Иванович,1822,1985,4
Фролов Никита Васильевич,1817,1906,5
Новиков Артем Николаевич,1814,1973,14
Лебедев Владимир Дмитриевич,1815,1821,3
Фролов Никита Николаевич,1815,1940,0
Фролов Дмитрий Иванович,1906,2024,1
Попов Юрий Юрьевич,1962,1999,10
Новиков Владимир Федорович,1940,2011,3
Кузнецов Иван Васильевич,1871,1994,10
Кузнецов Иван Алексеевич,1885,1978,4
Иванов Никита Иванович,1814,1946,8
Иванов Алексей Юрьевич,1868,1905,6
Новиков Артем Андреевич,1848,1979,0
Сидоров Никита Васильевич,1805,1947,2
Новиков Петр Федорович,1935,2006,2
Петров Иван Дмитриевич,1828,1867,0
Фролов Петр Алексеевич,1924,1998,5
Попов Юрий Петрович,1808,1960,10
Новиков Владимир Петрович,1807,1829,3
Лебедев Артем Федорович,1818,1898,7
Петров Петр Васильевич,1967,1977,4
Фролов Андрей Сергеевич,1886,1990,14
Попов Андрей Сергеевич,1822,1847,6
Петров Петр Алексеевич,1952,2021,6
Новиков Андрей Сергеевич,1917,1999,2
Попов Алексей Алексеевич,1826,1973,10
Кузнецов Андрей Дмитриевич,1800,2012,1
Новиков Алексей Андреевич,1822,2011,2
Смирнов Владимир Андреевич,1887,1984,6
Попов Юрий Алексеевич,1931,1962,2
Лебедев Сергей Дмитриевич,1817,1863,5
Иванов Алексей Алексеевич,1996,2008,8
Фролов Артем Николаевич,1977,1999,8
Попов Иван Петрович,1849,1990,14
Фролов Владимир Федорович,1874,1982,5
Фролов Сергей Петрович,1823,1971,12
Попов Юрий Николаевич,1800,1976,13
Попов Андрей Петрович,1812,1839,3
Волков Алексей Андреевич,1803,2021,1
Смирнов Дмитрий Петрович,1840,1862,2
Кузнецов Петр Федорович,1848,1989,3
Попов Артем Васильевич,1998,2019,6
Новиков Петр Алексеевич,1903,2002,7
Иванов Дмитрий Андреевич,1893,1947,12
Смирнов Сергей Юрьевич,1843,1858,0
Смирнов Андрей Николаевич,1859,2009,13
Лебедев Андрей Дмитриевич,1901,1990,5
Волков Никита Петрович,1950,2018,7
Иванов Никита Алексеевич,1936,1979,12
Фролов Андрей Дмитриевич,1965,1976,12
Петров Артем Иванович,1863,2014,12
Иванов Юрий Васильевич,1946,1996,4
Кузнецов Андрей Николаевич,1860,1963,9
Смирнов Дмитрий Алексеевич,1823,2023,3
Волков Никита Юрьевич,1856,1913,11
Кузнецов Сергей Юрьевич,1917,1927,11
Петров Никита Николаевич,1801,1877,6
Лебедев Владимир Андреевич,1811,2023,13
Сидоров Иван Алексеевич,1840,1931,14
Волков Владимир Юрьевич,1923,2007,3
Новиков Андрей Сергеевич,1831,2015,4
Сидоров Сергей Васильевич,1868,2003,2
Новиков Петр Васильевич,1871,1944,10
Лебедев Владимир Юрьевич,1843,1929,6
Иванов Дмитрий Петрович,1828,1918,8
Кузнецов Никита Федорович,1856,1912,4
Кузнецов Андрей Алексеевич,1826,1910,10
Лебедев Дмитрий Дмитриевич,1911,2008,1
Петров Иван Петрович,1870,2005,8
Петров Сергей Васильевич,1847,1954,6
Лебедев Сергей Николаевич,1850,1877,7
Новиков Юрий Юрьевич,1884,1977,13
Попов Петр Васильевич,1828,1922,11
Смирнов Андрей Алексеевич,1922,2013,11
Смирнов Сергей Андреевич,1870,1988,6
Волков Иван Федорович,1807,1987,8
Фролов Артем Дмитриевич,1883,1947,7
Новиков Юрий Федорович,1961,1986,12
Лебедев Иван Петрович,1852,1883,13
Смирнов Алексей Юрьевич,1918,1947,4
Петров Юрий Алексеевич,1953,1989,3
Петров Алексей Николаевич,1856,1931,0
Иванов Алексей Васильевич,1882,1998,3
Кузнецов Никита Иванович,1823,1843,6
Петров Владимир Николаевич,1817,1843,2
Кузнецов Алексей Иванович,1979,2002,6
Иванов Владимир Алексеевич,1893,2004,13
Сидоров Никита Иванович,1835,1984,14
Лебедев Алексей Юрьевич,1864,1884,4
Сидоров Алексей Иванович,1969,1990,6
Лебедев Никита Алексеевич,1886,1986,1
Попов Никита Васильевич,1832,1997,7
Фролов Владимир Федорович,1883,1943,5
Смирнов Никита Сергеевич,1872,1978,11
Кузнецов Иван Сергеевич,1827,2020,11
Кузнецов Дмитрий Юрьевич,1851,2002,11
Петров Иван Дмитриевич,1924,2007,3
Сидоров Алексей Васильевич,1876,1915,10
Сидоров Юрий Андреевич,1808,1939,5
Смирнов Сергей Сергеевич,1814,1840,9
Попов Владимир Андреевич,1849,1868,5
Смирнов Артем Сергеевич,1919,1965,11
Петров Иван Алексеевич,1851,1929,6
Сидоров Иван Сергеевич,1936,1952,3
Попов Алексей Андреевич,1811,1984,10
Волков Петр Иванович,1903,1987,14
Новиков Никита Иванович,1805,2021,6
Кузнецов Дмитрий Юрьевич,1934,1991,11
Попов Владимир Дмитриевич,1923,1982,6
Смирнов Петр Николаевич,1812,1850,0
Фролов Алексей Алексеевич,1854,1858,4
Фролов Владимир Петрович,1868,1904,4
Сидоров Артем Андреевич,1813,1898,12
Новиков Андрей Андреевич,1839,1853,8
Волков Никита Васильевич,1811,1866,8
Иванов Алексей Дмитриевич,1812,1826,5
Смирнов Петр Сергеевич,1834,1955,5
Новиков Никита Николаевич,1912,1953,13
Новиков Петр Федорович,1900,1996,8
Иванов Сергей Петрович,1800,1819,14
Попов Иван Васильевич,1940,1966,1
Новиков Никита Петрович,1866,1886,13
Волков Иван Петрович,1955,2018,0
Сидоров Иван Дмитриевич,1907,1996,10
Петров Юрий Иванович,1938,1971,11
Новиков Дмитрий Сергеевич,1888,1962,12
Фролов Юрий Юрьевич,1905,1947,8
Смирнов Петр Алексеевич,1869,2010,14
Волков Алексей Иванович,1906,1944,8
Новиков Андрей Юрьевич,1859,1885,9
Фролов Петр Петрович,1816,1839,6
Иванов Петр Николаевич,1875,2003,14
Кузнецов Дмитрий Николаевич,1916,1964,13
Кузнецов Владимир Петрович,1892,1936,14
Попов Андрей Алексеевич,1816,1886,6
Петров Никита Юрьевич,1865,1968,14
Петров Никита Юрьевич,1834,1955,10
Новиков Артем Иванович,1989,2005,12
Лебедев Сергей Андреевич,1847,2003,1
Новиков Дмитрий Андреевич,1809,1940,14
Новиков Андрей Алексеевич,1825,1958,8
Фролов Иван Иванович,1838,1854,5
Волков Владимир Сергеевич,1930,1972,10
Петров Владимир Алексеевич,1825,1949,13
Сидоров Сергей Николаевич,1843,1924,0
Сидоров Владимир Петрович,1808,1946,3
Фролов Андрей Петрович,1828,1921,13
Смирнов Иван Васильевич,1848,2009,1
Фролов Владимир Петрович,1807,1941,7
Смирнов Иван Алексеевич,1876,1900,7
Лебедев Петр Сергеевич,1876,1877,3
Иванов Юрий Васильевич,1941,1951,2
Смирнов Алексей Андреевич,1921,2006,6
Волков Владимир Юрьевич,1852,1860,4
Лебедев Артем Андреевич,1833,1894,8
Фролов Иван Петрович,1847,1984,6
Новиков Сергей Юрьевич,1897,1934,10
Фролов Сергей Николаевич,1971,2004,13
Иванов Алексей Дмитриевич,1854,1912,1
Лебедев Петр Николаевич,1836,1954,2
Фролов Сергей Сергеевич,1948,1977,1
Лебедев Никита Петрович,1920,1930,0
Волков Артем Сергеевич,1807,1807,5
Иванов Дмитрий Андреевич,1855,2014,9
Кузнецов Алексей Сергеевич,1830,1891,9
Попов Артем Дмитриевич,1830,1961,10
Фролов Никита Николаевич,1912,1916,14
Кузнецов Владимир Васильевич,1959,1974,13
Волков Иван Федорович,1826,2014,1
Фролов Дмитрий Дмитриевич,1820,1941,7
Фролов Юрий Алексеевич,1853,1916,14
Волков Петр Алексеевич,1806,1832,6
Попов Владимир Петрович,1806,1942,4
Петров Сергей Юрьевич,1800,1992,6
Волков Иван Петрович,1803,1844,4
Попов Артем Васильевич,1833,1976,5
Новиков Владимир Николаевич,1839,1857,1
Иванов Никита Юрьевич,1907,1943,11
Попов Иван Федорович,1832,2010,5
Кузнецов Юрий Николаевич,1903,1960,12
Фролов Владимир Николаевич,1838,1977,8
Новиков Артем Юрьевич,1802,1803,14
Кузнецов Иван Алексеевич,1905,2000,3
Попов Дмитрий Федорович,1924,1965,0
Новиков Владимир Федорович,1819,1858,14
Кузнецов Петр Алексеевич,1820,1964,12
Попов Иван Дмитриевич,1874,1875,4
Кузнецов Андрей Васильевич,1916,1967,2
Лебедев Дмитрий Николаевич,1806,1823,5
Иванов Андрей Сергеевич,1963,2002,0
Лебедев Иван Федорович,1903,1908,11
Волков Никита Васильевич,1806,1862,2
Новиков Алексей Петрович,1948,1978,2
Попов Владимир Иванович,1898,1940,9
Сидоров Петр Николаевич,1982,2002,10
Иванов Алексей Алексеевич,1812,1993,9
Иванов Юрий Юрьевич,1860,1921,10
Лебедев Никита Федорович,1855,1930,1
Попов Артем Дмитриевич,1849,1946,9
Петров Артем Юрьевич,1880,1969,6
Волков Дмитрий Сергеевич,1800,1825,11
Лебедев Алексей Петрович,1977,2001,10
Петров Сергей Иванович,1883,1905,2
Попов Дмитрий Иванович,1873,1971,7
Фролов Сергей Сергеевич,1820,1897,5
Сидоров Андрей Андреевич,1832,1992,10
Сидоров Никита Иванович,1991,1995,14
Попов Артем Андреевич,1980,2020,10
Новиков Петр Николаевич,1886,1994,14
Смирнов Андрей Андреевич,1910,1924,14
Петров Юрий Васильевич,1823,2024,3
Попов Дмитрий Юрьевич,1909,1911,10
Лебедев Артем Васильевич,1960,1997,6
Сидоров Никита Андреевич,1831,1881,9
Кузнецов Владимир Петрович,1868,1874,8
Волков Петр Федорович,1856,2009,1
Кузнецов Никита Васильевич,1818,1992,5
Смирнов Никита Юрьевич,1965,1994,0
Фролов Алексей Федорович,1968,2012,8
Лебедев Дмитрий Алексеевич,1953,2010,5
Волков Владимир Петрович,1873,1902,1
Попов Никита Федорович,1807,1809,12
Волков Юрий Дмитриевич,1896,1901,2
Кузнецов Андрей Федорович,1866,1871,9
Петров Сергей Иванович,1830,1852,7
Сидоров Петр Андреевич,1884,1907,0
Смирнов Андрей Дмитриевич,1845,1887,12
Новиков Алексей Сергеевич,1892,1913,7
Сидоров Алексей Алексеевич,1914,1929,13
Лебедев Сергей Сергеевич,1975,1993,5
Смирнов Дмитрий Сергеевич,1864,1932,14
Кузнецов Сергей Иванович,1883,2017,12
Попов Никита Юрьевич,1836,1945,12
Лебедев Дмитрий Юрьевич,1812,1981,9
Сидоров Артем Федорович,1871,2018,7
Кузнецов Сергей Васильевич,1827,1952,0
Сидоров Юрий Сергеевич,1803,1887,3
Фролов Алексей Федорович,1828,2003,2
Сидоров Владимир Васильевич,1888,2003,0
Фролов Алексей Федорович,1845,1887,2
Петров Никита Федорович,1839,1839,7
Петров Сергей Алексеевич,1927,1961,8
Кузнецов Сергей Федорович,1846,2009,5
Волков Иван Дмитриевич,1917,2006,6
Фролов Сергей Николаевич,1831,1881,7
Лебедев Сергей Васильевич,1913,1992,11
Лебедев Юрий Андреевич,1939,1987,7
Смирнов Петр Иванович,1887,1968,9
Петров Артем Николаевич,1824,1853,6
Лебедев Владимир Андреевич,1876,1915,0
Кузнецов Юрий Юрьевич,1869,1981,13
Лебедев Петр Юрьевич,1983,1990,6
Попов Петр Андреевич,1851,1923,5
Кузнецов Иван Васильевич,1937,1997,0
Попов Петр Федорович,1872,1974,9
Попов Петр Федорович,1948,1967,0
Лебедев Иван Федорович,1885,1978,12
Кузнецов Владимир Дмитриевич,1949,2021,6
Волков Сергей Федорович,1929,1966,14
Волков Андрей Федорович,1872,1950,5
Лебедев Иван Петрович,1832,1860,0
Иванов Андрей Николаевич,1871,1967,3
Кузнецов Никита Николаевич,1903,1952,14
Кузнецов Никита Петрович,1889,2002,14
Фролов Петр Васильевич,1948,1955,11
Иванов Никита Юрьевич,1905,2005,8
