ФИО,ГодРождения,ГодСмерти,ЧислоДетей
Волков Дмитрий Сергеевич,1800,1825,11
Иванов Андрей Николаевич,1800,1954,2
Иванов Сергей Петрович,1800,1819,14
Кузнецов Андрей Дмитриевич,1800,2012,1
Петров Сергей Юрьевич,1800,1992,6
Попов Юрий Николаевич,1800,1976,13
Волков Алексей Васильевич,1801,1842,12
Кузнецов Алексей Дмитриевич,1801,1928,0
Петров Никита Николаевич,1801,1877,6
Смирнов Никита Дмитриевич,1801,2008,7
Иванов Иван Иванович,1802,1907,4
Кузнецов Артем Петрович,1802,1818,9
Новиков Артем Юрьевич,1802,1803,14
Новиков Юрий Дмитриевич,1802,1816,12
Петров Сергей Андреевич,1802,1886,2
Попов Владимир Алексеевич,1802,1906,12
Волков Алексей Андреевич,1803,2021,1
Волков Иван Петрович,1803,1844,4
Сидоров Юрий Сергеевич,1803,1887,3
Смирнов Дмитрий Сергеевич,1803,1930,5
Кузнецов Юрий Юрьевич,1804,1996,8
Иванов Юрий Николаевич,1805,1853,11
Новиков Никита Иванович,1805,2021,6
Сидоров Никита Васильевич,1805,1947,2
Смирнов Петр Иванович,1805,1903,1
Волков Никита Васильевич,1806,1862,2
Волков Петр Алексеевич,1806,1832,6
Кузнецов Артем Николаевич,1806,1844,13
Лебедев Дмитрий Николаевич,1806,1823,5
Новиков Сергей Сергеевич,1806,1891,1
Петров Артем Дмитриевич,1806,2007,5
Попов Андрей Дмитриевич,1806,1964,2
Попов Владимир Петрович,1806,1942,4
Волков Артем Сергеевич,1807,1807,5
Волков Иван Федорович,1807,1987,8
Кузнецов Дмитрий Федорович,1807,1917,6
Лебедев Алексей Николаевич,1807,1965,13
Новиков Владимир Петрович,1807,1829,3
Попов Никита Федорович,1807,1809,12
Фролов Владимир Петрович,1807,1941,7
Фролов Сергей Петрович,1807,1981,1
Попов Алексей Юрьевич,1808,1816,5
Попов Юрий Петрович,1808,1960,10
Сидоров Владимир Петрович,1808,1946,3
Сидоров Юрий Андреевич,1808,1939,5
Новиков Дмитрий Андреевич,1809,1940,14
Фролов Юрий Федорович,1809,1904,5
Волков Петр Иванович,1810,1956,7
Иванов Андрей Федорович,1810,1810,8
Кузнецов Иван Васильевич,1810,1848,12
Волков Никита Васильевич,1811,1866,8
Лебедев Владимир Андреевич,1811,2023,13
Попов Алексей Андреевич,1811,1984,10
Иванов Алексей Алексеевич,1812,1993,9
Иванов Алексей Дмитриевич,1812,1826,5
Лебедев Дмитрий Юрьевич,1812,1981,9
Попов Андрей Петрович,1812,1839,3
Попов Дмитрий Сергеевич,1812,1936,7
Смирнов Петр Николаевич,1812,1850,0
Новиков Владимир Сергеевич,1813,1859,1
Новиков Петр Андреевич,1813,1993,3
Сидоров Артем Андреевич,1813,1898,12
Иванов Никита Иванович,1814,1946,8
Лебедев Алексей Федорович,1814,2019,5
Новиков Артем Николаевич,1814,1973,14
Новиков Юрий Дмитриевич,1814,1991,5
Попов Алексей Николаевич,1814,1981,7
Смирнов Петр Николаевич,1814,1825,10
Смирнов Сергей Сергеевич,1814,1840,9
Кузнецов Владимир Сергеевич,1815,1905,13
Кузнецов Дмитрий Андреевич,1815,2001,8
Лебедев Артем Сергеевич,1815,1836,1
